DATE_ID,erbs,EUtranCellFDD,DCVECTOR_INDEX,pmTaInit2Distr,Site_id,NE_id,Band_id,Sectoral,Sector_gabung,Distance,dfsum,Cumulative_Occurance,TA_Index
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML2,11,0,BKT003,BKT003ML,L1800,2,2,(8.74 - 10.5) km,48525,100.0,TA11
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML2,12,0,BKT003,BKT003ML,L1800,2,2,(10.5 - 12.5) km,48525,100.0,TA12
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML2,13,0,BKT003,BKT003ML,L1800,2,2,(12.5 - 14.6) km,48525,100.0,TA13
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML2,14,0,BKT003,BKT003ML,L1800,2,2,(14.6 - 16.9) km,48525,100.0,TA14
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML2,15,0,BKT003,BKT003ML,L1800,2,2,(16.9 - 19.4) km,48525,100.0,TA15
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML2,16,0,BKT003,BKT003ML,L1800,2,2,(19.4 - 22.0) km,48525,100.0,TA16
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML2,17,0,BKT003,BKT003ML,L1800,2,2,(22.0 - 24.8) km,48525,100.0,TA17
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML2,18,0,BKT003,BKT003ML,L1800,2,2,(24.8 - 27.9) km,48525,100.0,TA18
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML2,19,0,BKT003,BKT003ML,L1800,2,2,(27.9 - 31.3) km,48525,100.0,TA19
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML3,0,1593,BKT003,BKT003ML,L1800,3,3,(0 - 0.08) km,70456,2.260985579652549,TA0
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML3,1,25782,BKT003,BKT003ML,L1800,3,3,(0.08 - 0.23) km,70456,38.85403656182582,TA1
2024-12-20,E-BKT003MM1-BUKITTINGGIIII,BKT003ML3,2,42283,BKT003,BKT003ML,L1800,3,3,(0.23 - 0.63) km,70456,98.86737822186898,TA2
